instructions,cycles,cpu_migrations,branches,branch_misses,context_switches,cache_references,cache_misses,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_loads,thread,seconds,workload,class,app,dwarfs,MIPS,instructions_per_cycle,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
18196001771,10082932003,1,123181979,1204974,311,3411040741,1206812,291950146,8271308492,236754584,7530356,291264301,1,3.73,W,CPU,bt,DLA,4878.28465710456,1.80463398598603,16.0070494972255,0.413846739232657,34.936212647946,13.0113519980708,0.00978206398194,0.066221910459496,0.06632292166092
18264148889,10157054727,1,124542456,1205889,305,3403470937,1095448,299305841,8232525352,244029668,6944267,302691684,1,3.62,W,CPU,bt,DLA,5045.34499696133,1.79817372062093,16.5729969592124,0.380213008676377,33.7357560638897,13.3611300194214,0.009682553554267,0.066024921682843,0.059978048068791
18172027355,10078470663,1,124017409,1208975,319,3416680080,1031123,294212734,8238317850,239707014,6934568,294540440,1,3.76,W,CPU,bt,DLA,4832.98599867021,1.80305405082073,16.2084523782624,0.381606733499219,34.3682803123984,13.1909890579185,0.009748429754729,0.066529450808215,0.056742320482821
18236219055,10021526622,1,122398863,1179267,330,3400503702,1114998,301356502,8279085389,246243781,11115477,303208296,1,3.91,W,CPU,bt,DLA,4663.99464322251,1.81970469598579,16.6267083700591,0.60952749944909,33.6215004309083,13.5030063116337,0.009634623811824,0.064666200622144,0.061141950348216
18221802172,10085090318,1,122439984,1198959,319,3400502383,1228989,289993904,8282933565,238020988,7583409,292052516,1,3.78,W,CPU,bt,DLA,4820.58258518518,1.80680604708889,16.0276416812808,0.416172282434985,34.7991731090537,13.0624284992924,0.009792217875494,0.065798047233898,0.067446073028303
18079410870,10062362166,1,122076036,1183746,306,3405475567,1139853,299886755,8302373530,243265842,7367902,300541409,1,3.64,W,CPU,bt,DLA,4966.87111813187,1.79673625056838,16.6234072095072,0.407529982751036,34.1288092966213,13.4554075765634,0.00969679257934,0.065474810463224,0.063047021177632
18278200336,10099965181,1,123958073,1220115,313,3404246251,1168000,287616098,8229032085,237732758,7438794,291393650,1,3.71,W,CPU,bt,DLA,4926.73863504043,1.80972904445105,15.9421411650732,0.406976281212372,34.6146326414133,13.0063547630437,0.009842965209696,0.066752468928624,0.063901258249126
18209902662,10099192735,1,123697939,1206216,330,3391844769,1197994,300381941,8262470040,244312801,7337846,302904599,1,3.92,W,CPU,bt,DLA,4645.38333214286,1.80310477677006,16.634059205165,0.40295910067177,33.8192268525463,13.4164803368129,0.009751302323639,0.066239563296354,0.065788050723629
18121538455,10097266809,1,122703169,1186986,308,3412837699,1177295,297397248,8281260673,243758270,7036076,297242118,1,3.64,W,CPU,bt,DLA,4978.44463049451,1.7946973966111,16.4026977476621,0.388271449329328,33.9732501096271,13.4513010915331,0.009673637687385,0.065501392331979,0.06496661433705
18261357733,10066088904,1,123770816,1200253,321,3402103561,1247337,291594089,8227702118,238298500,7115265,293295371,1,3.8,W,CPU,bt,DLA,4805.62045605263,1.81414627937008,16.0609838155674,0.389635048172899,34.5268733038605,13.0493309141725,0.00969738294365,0.065726383412939,0.068304724009976
18218277672,10064602317,1,124198315,1216717,330,3409661994,1097333,297890319,8248301057,241909053,7023796,300653901,1,3.88,W,CPU,bt,DLA,4695.43238969072,1.81013388290839,16.5028718089021,0.385535676119099,34.0967026852029,13.2783711696191,0.009796566080627,0.066785511885681,0.060232532391715
18221915908,10061819883,1,123807217,1174004,303,3404449436,882595,300782236,8237892540,245664363,6283111,303128913,1,3.58,W,CPU,bt,DLA,5089.92064469274,1.81099603450335,16.635402914296,0.344810668193322,33.5331199014812,13.4818075245395,0.009482516677521,0.064428131812669,0.048435905667445
18154597570,10016025937,1,122805620,1186916,329,3406400805,1266825,295366342,8278926084,241989582,7145139,295675356,1,3.9,W,CPU,bt,DLA,4655.02501794872,1.81255496782766,16.2865276886443,0.393571874697303,34.2119111722752,13.3293828776398,0.009664997416242,0.065378259993014,0.069779844753673
18148045119,10091179372,1,123129749,1189790,320,3409443160,1256743,298668949,8288799945,243897815,6800256,298587124,1,3.81,W,CPU,bt,DLA,4763.26643543307,1.79840675207453,16.4528532986396,0.374710110946358,33.9847240738914,13.4393436538601,0.009662896332226,0.065560229335906,0.069249497219084
18166014751,10108208993,1,123127595,1211544,309,3402310104,1241934,296386816,8272253896,242370777,7350682,297495413,1,3.68,W,CPU,bt,DLA,4936.41705190217,1.79715464565286,16.3764819679905,0.404639217833695,34.1305746443186,13.3419894413913,0.009839743885195,0.066692888704899,0.068365792774204
18095259107,10038444435,1,122358336,1182103,306,3400711648,1117069,290640297,8288753695,238455408,6875015,291187978,1,3.65,W,CPU,bt,DLA,4957.60523479452,1.80259593248423,16.0919485196737,0.379934598302627,34.7601833169579,13.1777835614277,0.009660992774534,0.065326668881061,0.06173268884378
18259333364,10051523165,1,123045782,1196751,308,3401516072,1256323,294416532,8271903646,242125421,7389985,297111137,1,3.64,W,CPU,bt,DLA,5016.30037472527,1.81657377337398,16.2717406532367,0.404723702266702,34.163714044714,13.2603647774663,0.009726062775561,0.065541878016177,0.068804428669721
18179565441,10050146900,1,122931157,1227535,328,3408773843,1366848,294541167,8276379329,242177124,7116106,295191628,1,3.9,W,CPU,bt,DLA,4661.42703615385,1.8088855438521,16.2375513847135,0.391434329004982,34.1749013792071,13.3213923504367,0.009985548252832,0.067522791124125,0.075185955595912
18250980841,10090731867,1,123225594,1224882,314,3402809399,1357622,289612932,8265518083,236291273,7111090,291444592,1,3.72,W,CPU,bt,DLA,4906.17764543011,1.80868752450818,15.9687084512895,0.389627826687827,34.9802088670452,12.9467711932053,0.009940159022484,0.067113214937378,0.074386248707805
18235805361,10091840311,1,122151996,1191277,330,3392075958,1215406,295740935,8267371297,241723316,7210289,298431973,1,3.92,W,CPU,bt,DLA,4651.99116352041,1.80698512848278,16.3651655132403,0.395391859984439,34.2017949853046,13.255423120328,0.009752415343258,0.065326262066151,0.06664942819577
18238010016,10056523952,1,122190480,1153271,307,3389264693,917123,292987647,8264087935,239260497,6574887,295464160,1,3.66,W,CPU,bt,DLA,4983.06284590164,1.81355009972138,16.2004604526915,0.360504627107449,34.5401269270121,13.1187830684433,0.009438304849936,0.063234475635678,0.050286352469125
18237668517,10082548399,1,124003863,1214808,319,3406133362,1279770,295305361,8214943673,240970333,7709460,296459554,1,3.8,W,CPU,bt,DLA,4799.38645184211,1.80883520666351,16.2553428210223,0.422721796528637,34.0910998077095,13.2127817092071,0.009796533516057,0.066609830026663,0.070171798484389
18208181385,10096740684,1,123860029,1208067,321,3406788328,1139330,300248722,8244106160,244874094,7067240,303099667,1,3.8,W,CPU,bt,DLA,4791.62668026316,1.80337219255853,16.646344881521,0.388135412898623,33.666714291141,13.4485750565803,0.009753485525181,0.066347482730769,0.062572421479643
18199484989,10237195554,1,123859519,1219493,314,3404844955,1231060,325642201,8245608226,274045079,7014533,325800347,1,3.72,W,CPU,bt,DLA,4892.33467446237,1.77778033964477,17.9016245348106,0.385424807583273,30.088510459989,15.0578480196355,0.009845775357807,0.067007006007977,0.067642573443373
18272440328,10082413426,1,122755044,1189308,316,3385932084,1148500,289056794,8258094507,238107409,7112836,293390794,1,3.74,W,CPU,bt,DLA,4885.67923208556,1.81230818019027,16.0564647487407,0.389265794405171,34.6822240504074,13.0309583572772,0.009688465428761,0.065087529560983,0.062854220858507
18233239197,10127664709,1,122749509,1187389,306,3391365205,1126439,299518754,8256478808,244066613,6811662,302275364,1,3.61,W,CPU,bt,DLA,5050.75878033241,1.80033993234363,16.5782591197364,0.373584853815813,33.8287925026435,13.3858065680484,0.009673268835642,0.065122219215737,0.061779423163896
18259183703,10081177149,1,121955882,1193907,304,3384511738,1131727,292417547,8261893318,239132030,7106565,296266291,1,3.61,W,CPU,bt,DLA,5057.94562409972,1.81121543973773,16.2256043763513,0.389204967516285,34.5495052168461,13.096534537889,0.009789663117684,0.065386657991936,0.06198124836293
18220157274,10098131650,1,123578972,1186560,302,3402520124,1160410,294032990,8250589996,239129830,6879175,294406321,1,3.59,W,CPU,bt,DLA,5075.25272256267,1.80430973822767,16.1582755062227,0.377558486271494,34.502554516097,13.1244657443894,0.009601633520628,0.065123477374875,0.063688253759252
18203505480,10090467575,1,122460484,1180339,304,3397759005,1059714,301339689,8291320242,245509204,6693968,302472884,1,3.61,W,CPU,bt,DLA,5042.52229362881,1.80402992673013,16.6161888067287,0.367729611604457,33.7719324038051,13.4869190041302,0.009638529601108,0.064841302203953,0.058214831267763
18156874862,10162352220,1,122908754,1155444,299,3404070318,915892,303604417,8279491830,248696113,6011569,303266747,1,3.55,W,CPU,bt,DLA,5114.6126371831,1.78668033432913,16.7025850706664,0.331090512309552,33.2916012643913,13.6970769964653,0.009400827543984,0.063636722111149,0.050443262233241
18243697760,14366940835,2,134619159,1404512,474,3409387252,1190543,299511513,8292998140,250894180,7072275,300315456,2,2.8,W,CPU,bt,DLA,6515.60634285714,1.26983871998384,16.4613259850453,0.387655786290553,33.0537684851837,13.7523753846709,0.010433225184537,0.076986147132926,0.065257768225601
18213438414,14395624450,2,134202541,1383196,475,3408294013,1186611,300556281,8299416080,252929516,7403931,301817745,2,2.8,W,CPU,bt,DLA,6504.79943357143,1.26520655475977,16.5711568644833,0.406509239590305,32.8131576387471,13.8869723690164,0.010306779511723,0.075943705332256,0.065150301279076
18327522267,14426029773,2,135732229,1403445,465,3403682898,1142552,292150343,8224321400,245519343,7618533,296484630,2,2.74,W,CPU,bt,DLA,6688.87673978102,1.27044811049136,16.1770164935956,0.415688104971926,33.4976515475606,13.396210323644,0.010339806620283,0.076575817481177,0.06234077816712
18173233869,14342134404,2,134034678,1377956,469,3398146367,1149843,297379371,8296707526,250829165,7362766,301813567,2,2.76,W,CPU,bt,DLA,6584.505025,1.26712198875584,16.6075872448236,0.40514341327877,33.0771245281624,13.8021205696288,0.010280593205887,0.075823379038253,0.063271237705327
18293711816,14319418406,2,133451886,1384418,475,3399782615,1120217,299961169,8293869634,252193274,7221096,302111545,2,2.81,W,CPU,bt,DLA,6510.21772811388,1.27754572827726,16.5145022529418,0.394731045980745,32.8869580954804,13.7857902505837,0.010373911088825,0.075677260794562,0.061235085108329
18249901351,14414344907,2,135520542,1398336,470,3406083876,1203167,298443648,8249382129,248152048,7665849,300223312,2,2.79,W,CPU,bt,DLA,6541.18327992831,1.26609301142346,16.4506813612748,0.420048791090038,33.2432562837442,13.5974459931205,0.010318258614993,0.076621564857028,0.065927315269245
18319573715,14419728905,2,134524468,1402160,472,3409498472,1102141,295770007,8222839423,249652878,7066732,300486335,2,2.78,W,CPU,bt,DLA,6589.7747176259,1.27045201998546,16.4024741882483,0.385747622184777,32.9370904468403,13.627657601857,0.010423085263567,0.0765388988747,0.060161934832445
18205381423,14327966646,2,132891409,1375847,475,3409207600,1204070,298767155,8294706686,250774849,7090446,298854778,2,2.8,W,CPU,bt,DLA,6501.92193678572,1.27061863506518,16.4157383498946,0.389469785622958,33.0763101605935,13.7747648990853,0.010353167374424,0.075573643201005,0.066138136412722
18308518447,14383200232,2,129077418,1357394,469,3394026466,1045362,293366663,8275449503,245362229,7345366,295982195,2,2.77,W,CPU,bt,DLA,6609.5734465704,1.27290993323356,16.166365173502,0.401199366364,33.7274793138597,13.4015338111755,0.010516122967381,0.074140024160307,0.057097028523971
18249300076,14233048444,2,129194024,1344676,463,3398509981,986865,296938490,8280094816,251191632,9685028,298821713,2,2.77,W,CPU,bt,DLA,6588.1949732852,1.28217789378024,16.3744204849251,0.530706819421363,32.9632589671618,13.7644529353949,0.010408190397414,0.073683702629692,0.054076868476608
18145229632,14315688529,2,135199054,1385952,476,3418394063,1171125,299284940,8305950188,251691091,7457715,298002634,2,2.8,W,CPU,bt,DLA,6480.43915428571,1.26750659566547,16.4231944176919,0.411001412010127,33.0005728649331,13.870923438529,0.010251195988398,0.076381066986102,0.064541756910845
18299318839,14323976028,2,132253131,1382296,468,3397234525,1133133,298330828,8290846754,249772760,7306735,300777267,2,2.77,W,CPU,bt,DLA,6606.25228844765,1.2775306802545,16.4365280285174,0.399289998949452,33.1935586330551,13.649292752235,0.010451896220136,0.075538112219457,0.061922140926089
18174279641,14315460580,2,133877165,1380259,477,3417166451,1193749,298767015,8306025971,250500410,7562371,298025346,2,2.8,W,CPU,bt,DLA,6490.8141575,1.26955605371099,16.3981930446186,0.416102929490519,33.1577340372417,13.7832373523563,0.010309891160304,0.075945733600699,0.065683428646436
18176026118,14325511704,2,132784746,1380955,474,3402883902,1117304,297981096,8276045273,249622271,7356594,301351786,2,2.81,W,CPU,bt,DLA,6468.33669679715,1.26878721637042,16.5796298950939,0.404741605906621,33.154274415683,13.7335999287983,0.010399952114982,0.075976728413282,0.061471302513893
18263431687,14376126425,2,136525760,1414329,471,3409324228,1093735,297432416,8250422353,249793390,7546062,300942414,2,2.79,W,CPU,bt,DLA,6546.03286272401,1.2704000470697,16.4778678595333,0.413178756836336,33.0289858870965,13.6772428249508,0.01035942960508,0.077440484583559,0.059886609414075
18212931561,14359489647,2,132674430,1409261,474,3415847886,1183704,295844957,8294396130,246041690,7095446,296403232,2,2.79,W,CPU,bt,DLA,6527.93245913979,1.26835507449981,16.2743285454769,0.389582861838329,33.7113443254271,13.5091755644027,0.010621948780937,0.077376944797712,0.064992502499417
18169824407,14321301555,2,133632692,1398460,482,3402464616,1128356,297746605,8289634841,250428722,7226660,300156597,2,2.8,W,CPU,bt,DLA,6489.2230025,1.26872717100607,16.5195100556042,0.397728664742401,33.101773529795,13.7826715542458,0.010464954189503,0.076966071255,0.062100545097469
18243164654,14407497415,2,133411974,1384159,470,3385842713,1037856,299582382,8272469652,252512135,7079941,302200863,2,2.78,W,CPU,bt,DLA,6562.28944388489,1.2662271682941,16.565155702508,0.388087326638673,32.7606815886294,13.8414655455425,0.010375073229934,0.075872746108034,0.056890129518863
18280645861,14280429736,2,126847416,1303441,444,3388462656,868608,292424252,8272447623,247134434,7223668,296146254,2,2.64,W,CPU,bt,DLA,6924.48706856061,1.28011874985217,16.1999885699771,0.395153872293484,33.473472268134,13.518911524195,0.01027566064097,0.071301693053459,0.047515170230013
18184264761,14327214108,2,134922040,1387062,472,3399372999,1136327,296064205,8287145107,249582683,7292222,299843218,2,2.81,W,CPU,bt,DLA,6471.26859822064,1.26921148968147,16.4891581782881,0.401018248240628,33.2040068140465,13.7252006765367,0.010280470114445,0.076278145871196,0.062489576286697
